Id,Label,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
0,,16,577,256,833,577,256,833,7,0.335777,0.362346,15491745.313262,0.014676,0.308305
1,,16,4,11,15,4,11,15,8,0.252292,0.262687,52127.178917,0.190909,0.006462
379,,16,10,5,15,10,5,15,8,0.25968,0.271019,48394.650165,0.166667,0.008542
41,,7,1646,384,2030,1646,384,2030,7,0.354032,0.384665,56497535.80538,0.008165,0.883302
810,,41,165,0,165,165,0,165,0,0,0,0,0.031966,0.130024
852,,16,6,6,12,6,6,12,8,0.258149,0.269241,8489.935196,0.088889,0.006358
386,,16,2,3,5,2,3,5,8,0.25374,0.264384,7326.846274,0.083333,0.005309
1430,,16,2,1,3,2,1,3,9,0.215791,0.221919,4232.709363,0,0.005765
1264,,16,109,52,161,109,52,161,8,0.284626,0.299941,1093540.467603,0.018849,0.036423
2232,,16,17,1,18,17,1,18,8,0.251375,0.261439,18899.04108,0.080882,0.013358
11,,14,283,301,584,283,301,584,7,0.344338,0.373302,11860001.585438,0.018531,0.151933
2880,,16,4,1,5,4,1,5,8,0.251375,0.261439,0,0.666667,0.006364
747,,16,231,121,352,231,121,352,7,0.326444,0.348992,5935005.881231,0.035995,0.185059
1001,,16,33,3,36,33,3,36,8,0.243746,0.252027,76899.484673,0.097619,0.036949
809,,7,249,0,249,249,0,249,0,0,0,0,0.05561,0.247626
59,,7,2161,363,2524,2161,363,2524,7,0.356384,0.386029,67315506.893755,0.006503,1
691,,16,75,57,132,75,57,132,8,0.296781,0.315474,1037288.404903,0.079605,0.076607
3453,,16,36,43,79,36,43,79,8,0.283464,0.299486,398079.701758,0.047368,0.023435
3498,,16,1,1,2,1,1,2,8,0.251375,0.261439,0,0,0.005077
3682,,16,4,3,7,4,3,7,8,0.245073,0.255515,7404.256163,0.166667,0.007501
2980,,16,2,1,3,2,1,3,8,0.251375,0.261439,0,1,0.005376
1106,,7,152,23,175,152,23,175,8,0.278957,0.293013,895728.145146,0.053769,0.161047
224,,16,584,226,810,584,226,810,7,0.323493,0.349323,15760079.78942,0.021806,0.428874
28,,16,256,141,397,256,141,397,7,0.327403,0.351489,6135724.182606,0.033855,0.197654
286,,7,24,18,42,24,18,42,8,0.267879,0.280066,281000.189785,0.065854,0.029733
2279,,41,5,1,6,5,1,6,10,0.170239,0.173367,7441.289922,0,0.00923
2108,,7,72,0,72,72,0,72,0,0,0,0,0.118349,0.08717
90,,16,50,39,89,50,39,89,8,0.277273,0.291384,684338.698604,0.033467,0.029186
