Id,Label,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
0,,3,577,256,833,577,256,833,7,0.335777,0.362346,15491745.313262,0.014676,0.308305
1,,3,4,11,15,4,11,15,8,0.252292,0.262687,52127.178917,0.190909,0.006462
379,,3,10,5,15,10,5,15,8,0.25968,0.271019,48394.650165,0.166667,0.008542
41,,1,1646,384,2030,1646,384,2030,7,0.354032,0.384665,56497535.80538,0.008165,0.883302
810,,1,165,0,165,165,0,165,0,0,0,0,0.031966,0.130024
852,,3,6,6,12,6,6,12,8,0.258149,0.269241,8489.935196,0.088889,0.006358
386,,29,2,3,5,2,3,5,8,0.25374,0.264384,7326.846274,0.083333,0.005309
1430,,3,2,1,3,2,1,3,9,0.215791,0.221919,4232.709363,0,0.005765
1264,,3,109,52,161,109,52,161,8,0.284626,0.299941,1093540.467603,0.018849,0.036423
2232,,3,17,1,18,17,1,18,8,0.251375,0.261439,18899.04108,0.080882,0.013358
11,,29,283,301,584,283,301,584,7,0.344338,0.373302,11860001.585438,0.018531,0.151933
2880,,3,4,1,5,4,1,5,8,0.251375,0.261439,0,0.666667,0.006364
747,,3,231,121,352,231,121,352,7,0.326444,0.348992,5935005.881231,0.035995,0.185059
1001,,1,33,3,36,33,3,36,8,0.243746,0.252027,76899.484673,0.097619,0.036949
809,,1,249,0,249,249,0,249,0,0,0,0,0.05561,0.247626
59,,1,2161,363,2524,2161,363,2524,7,0.356384,0.386029,67315506.893755,0.006503,1
691,,3,75,57,132,75,57,132,8,0.296781,0.315474,1037288.404903,0.079605,0.076607
3453,,1,36,43,79,36,43,79,8,0.283464,0.299486,398079.701758,0.047368,0.023435
3498,,3,1,1,2,1,1,2,8,0.251375,0.261439,0,0,0.005077
3682,,3,4,3,7,4,3,7,8,0.245073,0.255515,7404.256163,0.166667,0.007501
2980,,3,2,1,3,2,1,3,8,0.251375,0.261439,0,1,0.005376
1106,,1,152,23,175,152,23,175,8,0.278957,0.293013,895728.145146,0.053769,0.161047
224,,3,584,226,810,584,226,810,7,0.323493,0.349323,15760079.78942,0.021806,0.428874
28,,3,256,141,397,256,141,397,7,0.327403,0.351489,6135724.182606,0.033855,0.197654
286,,1,24,18,42,24,18,42,8,0.267879,0.280066,281000.189785,0.065854,0.029733
2279,,1,5,1,6,5,1,6,10,0.170239,0.173367,7441.289922,0,0.00923
2108,,1,72,0,72,72,0,72,0,0,0,0,0.118349,0.08717
90,,3,50,39,89,50,39,89,8,0.277273,0.291384,684338.698604,0.033467,0.029186
122,,1,454,1350,1804,454,1350,1804,6,0.415512,0.46228,63225312.470753,0.011332,0.30689
160,,1,392,0,392,392,0,392,0,0,0,0,0.031669,0.309925
336,,3,56,1,57,56,1,57,10,0.181312,0.184843,308841.997932,0.080201,0.070286
1461,,1,93,36,129,93,36,129,7,0.284115,0.299778,935324.818096,0.080112,0.10044
6612,,3,2,0,2,2,0,2,0,0,0,0,1,0.005945
325,,3,285,103,388,285,103,388,7,0.306343,0.327059,4241331.379063,0.027618,0.177494
6822,,3,1,1,2,1,1,2,8,0.251375,0.261439,0,0,0.005077
6474,,3,3,2,5,3,2,5,8,0.252143,0.262299,33.878177,0.5,0.005472
3439,,1,29,0,29,29,0,29,0,0,0,0,0.080049,0.025298
393,,3,42,13,55,42,13,55,8,0.285719,0.299861,138956.556492,0.167755,0.051155
263,,3,230,101,331,230,101,331,7,0.302776,0.322763,4205511.394171,0.032727,0.17033
1385,,1,101,38,139,101,38,139,8,0.285914,0.301362,968810.177826,0.050616,0.108086
385,,3,30,36,66,30,36,66,8,0.292007,0.308636,800641.95954,0.071303,0.024903
3046,,1,101,189,290,101,189,290,7,0.330536,0.355159,3741390.103815,0.060392,0.148573
7891,,3,1,1,2,1,1,2,8,0.251375,0.261439,0,0,0.005077
6417,,3,2,2,4,2,2,4,8,0.251671,0.261774,15.681877,0.666667,0.005314
657,,1,99,171,270,99,171,270,7,0.340348,0.365417,4278419.524602,0.075962,0.102997
765,,3,168,97,265,168,97,265,8,0.303689,0.323552,3006749.275716,0.042497,0.131478
195,,37,198,77,275,198,77,275,7,0.312719,0.33246,3944191.0757,0.048263,0.158433
55,,1,757,40,797,757,40,797,8,0.292248,0.308426,4568813.43635,0.01862,0.468273
6416,,3,3,3,6,3,3,6,8,0.251392,0.261514,25796.686993,0.25,0.005448
3,,37,293,110,403,293,110,403,7,0.296893,0.315278,6004690.2766,0.02415,0.18796
205,,3,73,55,128,73,55,128,7,0.313229,0.332214,1509964.606249,0.057662,0.052483
9101,,37,6,0,6,6,0,6,0,0,0,0,0.166667,0.007088
3316,,1,129,14,143,129,14,143,8,0.273725,0.286288,524143.553246,0.066625,0.144237
9411,,3,10,6,16,10,6,16,8,0.258407,0.269657,23639.028627,0.066667,0.012762
683,,3,92,54,146,92,54,146,8,0.289399,0.306342,1525299.825954,0.051599,0.087325
9514,,3,1,2,3,1,2,3,8,0.251873,0.262016,0,1,0.005077
8836,,3,1,1,2,1,1,2,8,0.251375,0.261439,0,0,0.005077
9818,,3,1,0,1,1,0,1,0,0,0,0,0,0.005077
182,,3,99,69,168,99,69,168,8,0.310015,0.330514,1446106.71059,0.063228,0.081509
10030,,3,1,0,1,1,0,1,0,0,0,0,0,0.005077
166,,1,879,3,882,879,3,882,9,0.218247,0.224008,2487609.941393,0.017527,0.586556
2931,,3,27,0,27,27,0,27,0,0,0,0,0.07265,0.022256
362,,3,478,63,541,478,63,541,7,0.315528,0.334601,5445615.448042,0.027844,0.35469
190,,1,661,6,667,661,6,667,8,0.264544,0.276416,1298521.24278,0.025095,0.462987
3229,,3,10,20,30,10,20,30,8,0.275774,0.290147,49155.266202,0.173846,0.009527
1243,,1,19,12,31,19,12,31,8,0.272497,0.285055,132227.082107,0.094017,0.018082
5169,,3,2,1,3,2,1,3,8,0.23322,0.240588,1024.897049,0.5,0.005509
2901,,3,9,5,14,9,5,14,8,0.228913,0.236616,167090.346478,0.081818,0.007314
136,,1,9,8,17,9,8,17,8,0.265088,0.276546,61106.673565,0.142857,0.009348
2284,,37,2,3,5,2,3,5,8,0.230926,0.239034,45680.020175,0.1,0.005245
317,,3,190,117,307,190,117,307,7,0.308684,0.328341,6241859.718708,0.026731,0.141504
15,,1,234,5,239,234,5,239,9,0.216982,0.223544,664956.132268,0.039765,0.197037
6205,,3,70,49,119,70,49,119,8,0.292475,0.31092,1131136.509518,0.068081,0.075275
700,,3,6,7,13,6,7,13,8,0.278549,0.293382,42166.213741,0.344444,0.011377
882,,1,11,37,48,11,37,48,7,0.308527,0.326756,152978.984789,0.158537,0.01992
973,,3,34,40,74,34,40,74,8,0.291903,0.30923,488887.867895,0.10113,0.034894
4628,,3,22,18,40,22,18,40,8,0.259594,0.272016,192759.087066,0.113191,0.028689
11926,,3,1,0,1,1,0,1,0,0,0,0,0,0.005077
797,,1,101,73,174,101,73,174,7,0.290278,0.307794,2045229.278988,0.038255,0.088998
